Time,Price,RSI,Pattern,AI_Conf,Action
2026-01-18 18:25:42,95052.1,44.493389470467555,None,0.53,WAIT
2026-01-18 18:25:58,95052.1,44.493389470467555,None,0.53,WAIT
2026-01-18 18:26:13,95068.1,45.86427526503962,None,0.54,WAIT
2026-01-18 18:26:28,95068.1,45.86427526503962,None,0.54,WAIT
2026-01-18 18:26:43,95068.1,45.86427526503962,None,0.54,WAIT
2026-01-18 18:26:59,95044.8,43.89478147998233,None,0.53,WAIT
2026-01-18 18:27:14,95044.8,43.89478147998233,None,0.53,WAIT
2026-01-18 18:27:29,95044.8,43.89478147998233,None,0.53,WAIT
2026-01-18 18:27:44,95044.8,43.89478147998233,None,0.53,WAIT
2026-01-18 18:28:00,95044.9,43.90287275750504,None,0.53,WAIT
2026-01-18 18:28:15,95044.9,43.90287275750504,None,0.53,WAIT
2026-01-18 18:28:30,95044.9,43.90287275750504,None,0.53,WAIT
2026-01-18 18:28:46,95044.9,43.90287275750504,None,0.53,WAIT
2026-01-18 18:29:01,95054.0,44.65187882500007,None,0.53,WAIT
2026-01-18 18:29:16,95054.0,44.65187882500007,None,0.53,WAIT
2026-01-18 18:29:31,95054.0,44.65187882500007,None,0.53,WAIT
2026-01-18 18:29:46,95054.0,44.65187882500007,None,0.53,WAIT
2026-01-18 18:30:01,95071.4,46.16243335848312,None,0.52,WAIT
2026-01-18 18:30:17,95071.4,46.16243335848312,None,0.52,WAIT
2026-01-18 18:30:32,95071.4,46.16243335848312,None,0.52,WAIT
2026-01-18 18:30:47,95071.4,46.16243335848312,None,0.52,WAIT
2026-01-18 18:31:02,95047.5,43.968977441058115,None,0.53,WAIT
2026-01-18 18:31:17,95047.5,43.968977441058115,None,0.53,WAIT
2026-01-18 18:31:33,95047.5,43.968977441058115,None,0.53,WAIT
2026-01-18 18:31:48,95047.5,43.968977441058115,None,0.53,WAIT
2026-01-18 18:32:03,95057.2,44.833581934083924,None,0.53,WAIT
2026-01-18 18:32:18,95057.2,44.833581934083924,None,0.53,WAIT
2026-01-18 18:32:33,95057.2,44.833581934083924,None,0.53,WAIT
2026-01-18 18:32:48,95057.2,44.833581934083924,None,0.53,WAIT
2026-01-18 18:33:04,95057.4,44.851766751244874,None,0.53,WAIT
2026-01-18 18:33:19,95057.4,44.851766751244874,None,0.53,WAIT
2026-01-18 18:33:34,95057.4,44.851766751244874,None,0.53,WAIT
2026-01-18 18:33:49,95057.4,44.851766751244874,None,0.53,WAIT
2026-01-18 18:34:04,95066.8,45.723416548119275,Hammer,0.5,WAIT
2026-01-18 18:34:20,95066.8,45.723416548119275,Hammer,0.5,WAIT
2026-01-18 18:34:35,95066.8,45.723416548119275,Hammer,0.5,WAIT
2026-01-18 18:34:50,95066.8,45.723416548119275,Hammer,0.5,WAIT
2026-01-18 18:35:05,95077.1,46.795440128272766,Hammer,0.49,WAIT
2026-01-18 18:35:20,95077.1,46.795440128272766,Hammer,0.49,WAIT
2026-01-18 18:35:36,95077.1,46.795440128272766,Hammer,0.49,WAIT
2026-01-18 18:35:51,95077.1,46.795440128272766,Hammer,0.49,WAIT
2026-01-18 18:36:06,95037.8,43.137089385502,None,0.53,WAIT
2026-01-18 18:36:21,95037.8,43.137089385502,None,0.53,WAIT
2026-01-18 18:36:37,95037.8,43.137089385502,None,0.53,WAIT
2026-01-18 18:36:52,95037.8,43.137089385502,None,0.53,WAIT
2026-01-18 18:37:07,95012.2,41.08556799574643,None,0.56,WAIT
2026-01-18 18:37:22,95012.2,41.08556799574643,None,0.56,WAIT
2026-01-18 18:37:37,95012.2,41.08556799574643,None,0.56,WAIT
2026-01-18 18:37:52,95012.2,41.08556799574643,None,0.56,WAIT
2026-01-18 18:38:08,95020.2,41.70539062219989,None,0.56,WAIT
2026-01-18 18:38:23,95020.2,41.70539062219989,None,0.56,WAIT
