timestamp,open,high,low,close,volume,RSI,MACD,MACD_SIGNAL,ATR,SMA_50,Log_Ret,Target,time_diff
2025-12-26 20:00:00+05:30,88948.5,89024.0,88233.0,88372.0,517480.0,40.72458906407246,18.45300588202372,29.173344238464647,183.82142857142856,88826.32,-0.0064967519284037985,0,0 days 00:15:00
2025-12-26 20:15:00+05:30,88372.0,88408.5,87310.5,87353.5,670194.0,24.86176530821217,-94.25468016816012,4.487739357139695,256.4642857142857,88793.27,-0.011592072922263205,0,0 days 00:15:00
2025-12-26 20:30:00+05:30,87353.5,87356.0,86734.5,86746.5,589558.0,19.9310458052865,-229.90594781239636,-42.39099807676752,292.9642857142857,88744.2,-0.006973032274790118,1,0 days 00:15:00
2025-12-26 20:45:00+05:30,86738.5,87087.0,86628.5,86991.0,369212.0,26.37039331062249,-314.061146703898,-96.7250278021936,319.1428571428572,88700.85,0.0028145928358512514,0,0 days 00:15:00
2025-12-26 21:00:00+05:30,86982.0,87147.0,86875.0,86982.5,198576.0,22.620398897356893,-377.09372536014416,-152.79876731378374,325.5357142857143,88660.29,-9.77160315422742e-05,1,0 days 00:15:00
2025-12-26 21:15:00+05:30,86998.5,87195.5,86940.5,87109.0,154972.0,25.507336871682796,-412.08969182462897,-204.6569522159528,337.5357142857143,88626.31,0.001453259030608527,0,0 days 00:15:00
2025-12-26 21:30:00+05:30,87109.0,87242.0,86988.5,86988.5,176039.0,23.52402745995424,-444.4245408572024,-252.61046994420275,347.25,88591.78,-0.0013842820171709742,1,0 days 00:15:00
2025-12-26 21:45:00+05:30,86988.5,87295.5,86988.5,87225.5,145686.0,29.225862568860535,-445.7874619983049,-291.2458683550232,361.8571428571428,88560.2,0.00272079334845228,1,0 days 00:15:00
2025-12-26 22:00:00+05:30,87226.5,87357.0,87128.5,87242.5,110650.0,26.231489876095495,-440.4189533538884,-321.0804853547963,361.9285714285714,88531.21,0.00019487814445983583,0,0 days 00:15:00
2025-12-26 22:15:00+05:30,87242.5,87272.0,86809.0,86830.0,195879.0,23.74504171795924,-464.09982033215056,-349.6843523502672,387.8928571428572,88494.24,-0.00473941342983328,1,0 days 00:15:00
2025-12-26 22:30:00+05:30,86831.0,87058.0,86778.0,86955.5,159868.0,23.430847411069905,-467.35292328853393,-373.2180665379206,387.6785714285714,88453.45,0.0014443094713471696,1,0 days 00:15:00
2025-12-26 22:45:00+05:30,86970.0,87292.5,86955.0,87266.5,142358.0,28.045947341249345,-439.76657462713774,-386.527768155764,400.1071428571428,88420.09,0.003570161407114136,1,0 days 00:15:00
2025-12-26 23:00:00+05:30,87265.5,87446.5,87174.0,87354.0,201484.0,29.971917283635435,-406.1616966203292,-390.45455384867705,409.57142857142856,88389.15,0.0010021733682287492,0,0 days 00:15:00
2025-12-26 23:15:00+05:30,87353.0,87432.0,87239.5,87298.0,100269.0,29.103343465045597,-379.6717016392795,-388.2979834067976,416.4642857142857,88357.49,-0.0006412752435596992,1,0 days 00:15:00
2025-12-26 23:30:00+05:30,87298.0,87354.5,87200.0,87305.0,81159.0,34.211305119857954,-354.03228447018773,-381.4448436194756,371.0,88326.92,8.018189840662538e-05,0,0 days 00:15:00
2025-12-26 23:45:00+05:30,87302.0,87341.0,87183.5,87184.5,60235.0,46.59411527609834,-339.5224016799329,-373.0603552315671,303.82142857142856,88291.33,-0.0013811721525461053,1,0 days 00:15:00
2025-12-27 00:00:00+05:30,87183.5,87289.5,87178.0,87187.5,48634.0,61.74746936600959,-324.0457424946362,-363.2574326841809,267.3928571428572,88254.0,3.44091941399973e-05,1,0 days 00:15:00
2025-12-27 00:15:00+05:30,87188.5,87317.5,87098.5,87240.5,78323.0,57.40136458024325,-303.99940561162657,-351.40582726967006,250.28571428571428,88217.96,0.0006077006172298544,1,0 days 00:15:00
2025-12-27 00:30:00+05:30,87240.5,87349.5,87210.0,87280.5,49128.0,58.67792661619103,-281.6383222347795,-337.45232626269194,240.82142857142856,88179.41,0.00045839756476778417,1,0 days 00:15:00
2025-12-27 00:45:00+05:30,87280.5,87371.0,87208.5,87326.5,35638.0,56.64527956003666,-257.23988571748487,-321.4098381536505,234.2142857142857,88144.05,0.0005268975592526969,1,0 days 00:15:00
2025-12-27 01:00:00+05:30,87326.5,87437.0,87319.5,87436.0,36638.0,63.76499538603507,-226.457750147325,-302.4194205523854,224.5,88106.25,0.0012531294108207697,1,0 days 00:15:00
2025-12-27 01:15:00+05:30,87438.0,87560.5,87386.0,87462.0,86923.0,58.3598444680099,-197.68590318896167,-281.47271707970066,215.03571428571428,88067.91,0.00029731615217469445,1,0 days 00:15:00
2025-12-27 01:30:00+05:30,87463.0,87533.0,87354.0,87492.0,41089.0,58.73905429071804,-170.4978646524978,-259.27774659426007,211.5,88042.57,0.0003429472923630003,1,0 days 00:15:00
2025-12-27 01:45:00+05:30,87493.0,87606.5,87463.0,87568.5,58980.0,83.82959230416857,-141.1511351478257,-235.6524243049732,188.67857142857144,88025.1,0.0008739836213141296,1,0 days 00:15:00
2025-12-27 02:00:00+05:30,87568.5,87650.0,87531.5,87650.0,32014.0,83.15035799522673,-110.04869881056948,-210.5316792060925,177.14285714285714,88005.28,0.0009302671336358935,0,0 days 00:15:00
2025-12-27 02:15:00+05:30,87649.0,87759.0,87530.0,87556.0,67181.0,67.42925948223962,-91.92515240603824,-186.81037384608163,169.39285714285714,87982.34,-0.0010730227163353743,1,0 days 00:15:00
2025-12-27 02:30:00+05:30,87576.0,87667.0,87508.5,87619.5,26727.0,66.46001239925604,-71.6126855374605,-163.77083618435742,161.25,87962.54,0.000724987258849915,0,0 days 00:15:00
2025-12-27 02:45:00+05:30,87621.0,87626.5,87509.0,87544.0,20846.0,64.8910411622276,-60.90505268560082,-143.1976794846061,155.89285714285714,87939.11,-0.0008620517936162441,0,0 days 00:15:00
2025-12-27 03:00:00+05:30,87524.0,87524.0,87435.5,87467.5,23233.0,59.07314349525405,-57.92437107588921,-126.14301780286274,152.60714285714286,87915.24,-0.0008742283206789405,0,0 days 00:15:00
